number,value,datetime_start,datetime_complete,duration,params_maximum_necrosis_rate,state
0,25.0,2026-07-29 23:47:05.872707,2026-07-30 00:51:51.035547,0 days 01:04:45.162840,2.1799999999999998e-05,COMPLETE
1,952.0,2026-07-30 00:51:51.062068,2026-07-30 01:57:37.041491,0 days 01:05:45.979423,4.7799999999999996e-05,COMPLETE
2,630.0,2026-07-30 01:57:37.065628,2026-07-30 03:03:43.257575,0 days 01:06:06.191947,3.7999999999999995e-05,COMPLETE
3,282.0,2026-07-30 03:03:43.280884,2026-07-30 04:09:33.352886,0 days 01:05:50.072002,3.19e-05,COMPLETE
4,402.0,2026-07-30 04:09:33.376630,2026-07-30 05:14:58.896607,0 days 01:05:25.519977,1.2e-05,COMPLETE
5,470.0,2026-07-30 05:14:58.920315,2026-07-30 06:20:49.166033,0 days 01:05:50.245718,1.2e-05,COMPLETE
6,486.0,2026-07-30 06:20:49.189613,2026-07-30 07:27:16.037079,0 days 01:06:26.847466,7.6e-06,COMPLETE
7,856.0,2026-07-30 07:27:16.060272,2026-07-30 08:33:19.225388,0 days 01:06:03.165116,4.4e-05,COMPLETE
8,377.0,2026-07-30 08:33:19.248573,2026-07-30 09:39:27.533538,0 days 01:06:08.284965,3.21e-05,COMPLETE
9,402.0,2026-07-30 09:39:27.562680,2026-07-30 10:45:33.445096,0 days 01:06:05.882416,3.6899999999999996e-05,COMPLETE
10,,2026-07-30 10:45:33.468540,2026-07-30 10:48:11.865198,0 days 00:02:38.396658,2.35e-05,FAIL
